#do_sensitivity.py --input_csv sensitivity_info --bias .03 --output_dir sensitivity_output --covariate_dir ./covariates/
alpha,delta,Rsq
0.15259999999999999,0.0002902675390475627,0.08153670401849082
0.15309999999999999,0.00028914886174930205,0.08153670284329669
0.1536,0.0002880374675063687,0.08153670167863265
0.1541,0.00028693328542594624,0.08153670052437242
0.1546,0.0002858362455323314,0.081536699380392
0.1551,0.00028474627875215027,0.08153669824656874
0.1556,0.000283663316899863,0.08153669712278253
0.1561,0.0002825872926635412,0.08153669600891406
0.1566,0.0002815181395909246,0.08153669490484639
0.1571,0.0002804557920757414,0.0815366938104651
0.1576,0.0002794001853442832,0.08153669272565561
0.1581,0.00027835125544224643,0.0815366916503069
0.1586,0.000277308939221811,0.08153669058430812
0.1591,0.0002762731743289717,0.08153668952755148
0.1596,0.0002752438991910994,0.08153668847992901
0.1601,0.0002742210530047445,0.08153668744133603
0.1606,0.00027320457572365916,0.08153668641166817
0.1611,0.00027219440804705005,0.08153668539082329
0.1616,0.00027119049140804364,0.08153668437870032
0.1621,0.00027019276796236866,0.08153668337519995
0.1626,0.00026920118057724565,0.08153668238022431
0.1631,0.00026821567282047943,0.081536681393676
0.1636,0.0002672361889497574,0.08153668041546046
0.1641,0.00026626267390213507,0.08153667944548337
0.1646,0.00026529507328372075,0.0815366784836524
0.1651,0.0002643333333595431,0.08153667752987649
0.1656,0.00026337740104360324,0.08153667658406534
0.1661,0.0002624272238891075,0.08153667564613004
0.1666,0.0002614827500788769,0.08153667471598372
0.1671,0.00026054392841592456,0.08153667379353968
0.1676,0.00025961070831420695,0.08153667287871284
0.1681,0.0002586830397895371,0.08153667197141963
0.1686,0.00025776087345065994,0.08153667107157707
0.1691,0.00025684416049048705,0.08153667017910374
0.1696,0.0002559328526774851,0.08153666929391926
0.1701,0.0002550269023472171,0.0815366684159444
0.1706,0.00025412626239403085,0.08153666754510024
0.1711,0.0002532308862628978,0.08153666668131059
0.1716,0.0002523407279413865,0.08153666582449866
0.1721,0.00025145574195178363,0.08153666497458922
0.1726,0.0002505758833433495,0.08153666413150897
0.1731,0.0002497011076847037,0.08153666329518411
0.1736,0.0002488313710563499,0.0815366624655429
0.1741,0.0002479666300433222,0.08153666164251382
0.1746,0.00024710684172796394,0.08153666082602719
0.1751,0.0002462519636828248,0.08153666001601363
0.1756,0.00024540195396368297,0.08153665921240467
0.17609999999999998,0.0002445567711026851,0.08153665841513302
0.17659999999999998,0.00024371637410160229,0.08153665762413213
0.17709999999999998,0.00024288072242520053,0.0815366568393362
0.17759999999999998,0.00024204977599472517,0.081536656060681
0.17809999999999998,0.0002412234951814894,0.08153665528810182
0.17859999999999998,0.0002404018408005787,0.0815366545215361
0.17909999999999998,0.0002395847741046535,0.08153665376092147
0.17959999999999998,0.00023877225677785947,0.08153665300619652
0.18009999999999998,0.00023796425092983687,0.08153665225730033
0.18059999999999998,0.00023716071908983275,0.08153665151417369
0.18109999999999998,0.000236361624200905,0.08153665077675674
0.18159999999999998,0.00023556692961422895,0.08153665004499142
0.18209999999999998,0.0002347765990834928,0.08153664931882008
0.18259999999999998,0.00023399059675938754,0.08153664859818623
0.18309999999999998,0.00023320888718418492,0.08153664788303334
0.18359999999999999,0.00023243143528640727,0.08153664717330628
0.18409999999999999,0.00023165820637558127,0.08153664646895026
0.1846,0.00023088916613707802,0.0815366457699111
0.1851,0.00023012428062703778,0.08153664507613562
0.1856,0.00022936351626737489,0.08153664438757109
0.1861,0.0002286068398408646,0.08153664370416575
0.1866,0.00022785421848630743,0.08153664302586791
0.1871,0.00022710561969377399,0.08153664235262731
0.1876,0.0002263610112999209,0.08153664168439324
0.1881,0.00022562036148338814,0.08153664102111713
0.1886,0.00022488363876026186,0.08153664036274931
0.1891,0.00022415081197961674,0.08153663970924224
0.1896,0.00022342185031912272,0.08153663906054798
0.1901,0.00022269672328072463,0.0815366384166192
0.1906,0.00022197540068638925,0.08153663777740958
0.1911,0.00022125785267391925,0.08153663714287393
0.1916,0.00022054404969282896,0.08153663651296586
0.1921,0.00021983396250029215,0.08153663588764122
0.1926,0.0002191275621571454,0.08153663526685563
0.1931,0.00021842482002395832,0.08153663465056563
0.1936,0.00021772570775716138,0.08153663403872756
0.1941,0.0002170301973052373,0.08153663343129922
0.1946,0.0002163382609049673,0.08153663282823806
0.1951,0.00021564987107773828,0.08153663222950279
0.1956,0.00021496500062590405,0.08153663163505213
0.1961,0.00021428362262920428,0.08153663104484563
0.1966,0.00021360571044123634,0.08153663045884285
0.1971,0.00021293123768598252,0.08153662987700422
0.1976,0.00021226017825438896,0.08153662929929059
0.1981,0.00021159250630099587,0.08153662872566286
0.1986,0.00021092819624062166,0.08153662815608367
0.1991,0.00021026722274509107,0.08153662759051453
0.1996,0.00020960956074001836,0.08153662702891759
0.2001,0.0002089551854016379,0.08153662647125659
0.2006,0.00020830407215367865,0.08153662591749523
0.2011,0.00020765619666428638,0.08153662536759644
0.2016,0.0002070115348429966,0.08153662482152542
0.2021,0.0002063700628377445,0.08153662427924627
0.2026,0.0002057317570319264,0.08153662374072476
0.2031,0.0002050965940414987,0.0815366232059261
0.2036,0.000204464550712124,0.08153662267481608
0.2041,0.00020383560411635747,0.08153662214736143
0.2046,0.00020320973155087352,0.08153662162352884
