,g,Q,t,y
167,0.0012982569289247084,-0.10063870954794485,0,0.809
168,0.1703773042032068,-0.015428037602325362,0,0.7020000000000001
169,6.088796141652924e-05,-0.08570123521599471,0,0.815
170,0.007916137261590656,-0.08858269608326774,0,0.852
171,0.7251787017362523,-0.003506747128349641,1,0.8220000000000001
172,0.5195668476072882,-0.009121626061768917,1,0.619
173,0.08036453280450045,-0.015428037602325362,0,0.799
174,0.3436470619338981,-0.05306626238880474,0,0.799
175,0.7309202369478376,-0.045950343963438556,1,0.71
176,0.6915192301526694,0.005310104681344852,1,0.6709999999999999
177,0.0009076316317194931,-0.08570123521599471,0,0.847
178,0.9813406356663201,-0.050121244962147204,1,0.63
179,0.7148261316045155,-0.003506747128349641,0,0.799
180,0.3253972127388144,-0.015428037602325362,1,0.76
181,0.025351324508944843,-0.021042916535744638,0,0.7
182,0.014140705645298695,-0.039137767241348875,0,0.857
183,0.02985361396967033,-0.051164361151697646,0,0.812
184,0.11158396012163765,-0.03297129295596479,0,0.695
185,0.568553292032317,-0.05655373294694244,1,0.68
186,0.02679718249410829,-0.07314120244427946,0,0.815
187,0.1526420540059475,-0.015428037602325362,0,0.691
188,0.004386423031339878,-0.08858269608326774,0,0.8220000000000001
189,0.8712496949920677,0.017180469506189122,1,0.562
190,0.03191888821950328,-0.09317757079981148,0,0.765
191,0.02109772532981339,-0.03297129295596479,0,0.818
192,0.26999147686119157,-0.021042916535744638,0,0.804
193,0.07759147788574568,-0.015428037602325362,0,0.805
194,0.46929169293835443,-0.003506747128349641,0,0.715
195,0.128942345955169,-0.015428037602325362,1,0.701
196,0.583579504749616,-0.01603942225433863,1,0.6709999999999999
197,0.25824037459809485,-0.009121626061768917,1,0.696
198,0.05241727972159635,-0.019752399950650812,0,0.81
199,0.1679597094580973,-0.021042916535744638,1,0.659
200,0.11836667118325526,-0.015428037602325362,0,0.67
201,0.24238120445181874,-0.003506747128349641,1,0.738
202,0.008494993521673861,-0.08858269608326774,0,0.816
203,0.09607918242212504,-0.021042916535744638,0,0.858
204,0.11167656548065301,-0.021042916535744638,0,0.621
205,0.005039812675774044,-0.09312880653214428,0,0.7959999999999999
206,0.10305577425532067,-0.021042916535744638,0,0.8270000000000001
207,0.013707668110933185,-0.08296781714984847,0,0.779
208,0.056705701907219054,-0.029579014656219815,0,0.779
209,0.005276636660315176,-0.087513927598725,0,0.7879999999999999
210,0.017172605553415096,-0.05106614366156903,0,0.728
211,0.026199397710140567,-0.08858269608326774,0,0.728
212,0.017172605553415096,-0.05106614366156903,0,0.728
213,0.026199397710140567,-0.08858269608326774,0,0.728
214,0.29697574081758776,-0.015428037602325362,0,0.659
215,0.2956545202738968,-0.022981049476965,0,0.755
216,0.016019122744219093,-0.08858269608326774,0,0.765
217,0.5689614231543253,-0.003506747128349641,1,0.716
218,0.14377193874576358,-0.003506747128349641,0,0.62
219,0.570990831689572,-0.05655373294694244,1,0.6970000000000001
220,0.0247264659772384,-0.08858269608326774,0,0.825
221,0.9794912461021328,0.028797462391904616,1,0.5870000000000001
222,0.0017960996433131983,-0.08570123521599471,0,0.773
223,0.08089177828387079,-0.021042916535744638,0,0.7929999999999999
224,0.09375969371956207,-0.021042916535744638,0,0.635
225,0.8216995993433676,-0.061148607663486176,1,0.568
226,0.013197645598211358,-0.03974000403851563,0,0.8029999999999999
227,0.41208055223868817,-0.009121626061768917,1,0.6990000000000001
228,0.045667013704841636,-0.019752399950650812,0,0.797
229,0.006074685224244842,-0.08296781714984847,0,0.8
230,0.013234398434011705,-0.08296781714984847,0,0.778
231,0.013671968564288468,-0.08296781714984847,0,0.8320000000000001
232,0.24611167958030017,-0.021042916535744638,0,0.735
233,0.4521400644712527,-0.009121626061768917,1,0.741
234,0.026893309704012984,-0.039137767241348875,0,0.8390000000000001
235,0.40174498342024806,-0.009121626061768917,0,0.755
236,0.0007230991763779349,-0.08570123521599471,0,0.851
237,0.236522859868857,-0.021042916535744638,0,0.77
238,0.7762833708351953,-0.04678778136635897,1,0.5660000000000001
239,0.008691166021625509,-0.08858269608326774,0,0.7829999999999999
240,0.07423812209823491,-0.028291148318904225,0,0.867
241,0.1577885840814115,-0.021042916535744638,0,0.539
242,0.3076160231505559,-0.009121626061768917,1,0.7
